Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
CITE 630 LOGEMENTS   ,Ain Naadja,3.0,72,3.0,1,1,1,1,0,0,0,0,1200.0
Ain naadja,Ain Naadja,3.0,75,4.0,1,1,1,0,0,0,0,0,1100.0
Ain el malha,Ain Naadja,3.0,72,3.0,0,0,0,0,0,0,0,0,1460.0
centre,Ain Naadja,1.0,99,4.0,1,1,1,0,1,0,0,0,1300.0
AIN NAADJA ,Ain Naadja,1.0,75,3.0,1,1,1,0,0,0,0,0,2200.0
ain maleha,Ain Naadja,3.0,73,3.0,1,1,1,0,0,0,0,0,1700.0
Cit cloture,Ain Naadja,3.0,75,3.0,1,1,1,0,0,0,0,0,2500.0
Cit cnep 385 logements Ain Naadja,Ain Naadja,3.0,69,3.0,1,1,1,0,0,0,0,0,1650.0
164 logements SAFSAFA ,Ain Naadja,5.0,110,4.0,0,0,0,0,0,0,0,0,2000.0
Safsafa ain naadja al kadima ,Ain Naadja,2.0,110,4.0,1,1,1,0,0,0,0,1,1050.0
cite 286 logment ,Ain Naadja,1.0,91,4.0,1,1,1,0,0,0,0,0,2800.0
 les tours  Ain naadja les ,Ain Naadja,1.0,75,3.0,1,1,1,0,0,0,0,0,1300.0
"2248 logts, Les Tours",Ain Naadja,3.0,74,3.0,1,1,1,0,0,0,0,0,1250.0
City 582 logement btiment D n= 5,Ain Naadja,2.0,72,3.0,1,1,1,0,0,0,0,0,1900.0
630 logts,Ain Naadja,2.0,77,3.0,1,1,1,0,0,0,0,0,2500.0
city 582 btiment D n= 5,Ain Naadja,2.0,72,3.0,1,1,1,0,0,0,0,0,1800.0
city 582 btiment D n= 5,Ain Naadja,2.0,72,3.0,1,1,1,0,0,0,0,0,1900.0
eplf,Ain Naadja,10.0,75,3.0,1,1,0,0,0,0,0,0,2400.0
Ain Naadja,Ain Naadja,3.0,70,3.0,1,1,1,0,0,0,1,0,2000.0
1074 logts,Ain Naadja,3.0,75,3.0,1,1,1,0,0,0,0,0,4000.0
Cit 1074 2 tranche ,Ain Naadja,3.0,75,3.0,1,1,1,0,0,0,0,0,1400.0
Cite 2248 logent  CNAP   Ain naadja ,Ain Naadja,1.0,90,4.0,1,1,1,0,0,0,0,0,2500.0
AIN NAADJA,Ain Naadja,2.0,71,3.0,0,0,0,0,0,0,0,0,1200.0
Safsafa,Ain Naadja,1.0,122,3.0,1,1,1,0,1,0,0,1,1300.0
Karrass  derrire la APC  ) Ain nadja ,Ain Naadja,3.0,74,3.0,1,1,1,0,0,0,0,0,3200.0
Cite 296 logent Ain naadja,Ain Naadja,1.0,105,4.0,1,1,1,0,1,0,0,0,2800.0
 Cite 1306 logement Ain nadja,Ain Naadja,3.0,74,3.0,1,1,1,0,0,0,0,0,1070.0
Cite 1306 logent Ain nadja  ,Ain Naadja,2.0,75,3.0,1,1,1,0,0,0,0,0,3600.0
ain nadja,Ain Naadja,4.0,80,3.0,1,1,1,0,0,0,0,0,1100.0
