Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
4,2.0,90,4.0,1,1,1,1,1,0,0,0,1250.0
4,4.0,98,4.0,0,0,0,1,0,1,0,0,1500.0
4,4.0,100,4.0,1,1,1,1,0,1,0,0,2000.0
4,2.0,95,4.0,1,1,1,1,0,1,0,0,1700.0
4,6.0,215,6.0,1,1,1,1,0,1,0,0,1700.0
4,2.0,120,4.0,1,1,1,1,0,1,1,0,1950.0
4,2.0,60,3.0,1,1,1,1,0,1,0,0,1600.0
4,6.0,120,4.0,1,1,1,1,0,1,0,0,1500.0
4,1.0,70,3.0,1,1,1,1,0,0,0,0,1300.0
4,4.0,110,5.0,0,0,0,0,0,0,0,0,1250.0
4,7.0,75,3.0,1,1,1,1,0,1,0,0,1500.0
4,5.0,96,4.0,1,1,1,1,0,0,1,0,1650.0
4,3.0,218,6.0,1,1,1,1,0,1,0,0,1450.0
4,3.0,148,4.0,1,1,1,1,0,1,0,0,1800.0
4,4.0,100,4.0,0,0,0,0,0,0,0,0,1600.0
4,4.0,105,3.0,0,0,0,0,0,0,0,0,1400.0
4,4.0,100,4.0,0,0,0,0,0,0,0,0,2200.0
4,3.0,180,5.0,0,0,0,0,0,0,0,0,1900.0
4,2.0,120,5.0,1,1,1,0,0,0,0,0,2900.0
4,3.0,122,3.0,1,1,1,1,0,0,0,0,1100.0
4,1.0,75,3.0,0,0,0,0,0,0,0,0,1600.0
4,6.0,180,5.0,0,0,0,0,0,0,0,0,1200.0
4,2.0,34,1.0,1,1,1,1,0,1,0,0,2800.0
4,5.0,90,4.0,1,1,1,1,0,0,0,0,2100.0
4,6.0,110,5.0,1,1,1,1,0,1,0,0,1350.0
4,2.0,65,2.0,0,0,0,0,0,0,0,0,1200.0
4,2.0,85,3.0,1,1,1,1,0,1,0,0,1350.0
4,5.0,158,6.0,1,1,1,0,0,0,1,0,1700.0
4,1.0,158,5.0,0,0,0,0,0,0,0,0,1700.0
4,5.0,116,4.0,0,0,0,0,0,0,0,0,1300.0
4,1.0,57,3.0,1,1,1,0,1,0,0,0,1320.0
4,2.0,86,4.0,0,0,0,0,0,0,0,0,2000.0
4,1.0,75,4.0,1,1,1,1,0,1,0,0,1200.0
4,5.0,100,4.0,0,0,0,0,0,0,0,0,1000.0
